position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
25	UC-J-KZfRV8c13fOCkhXdLiQ	Dua Lipa	k2qgadSvNyU	2017-07-07T09:00:05.000Z	2017-07-07 09:00:05	Dua Lipa - New Rules (Official Music Video)	The Complete Edition is here!! https://dualipa.co/completeedition Follow me online: https://wbr.ec/website_dualipa https://wbr.ec/facebook_dualipa https://wbr.ec/twitter_dualipa https://wbr.ec/instagram_dualipa Lyrics: One, one, one, one, one... Talkin' in my sleep at night, makin' myself crazy (Out of my mind, out of my mind) Wrote it down and read it out, hopin' it would save me (Too many times, too many times) My love, he makes me feel like nobody else, nobody else But my love, he doesn't love me, so I tell myself, I tell myself One: Don't pick up the phone You know he's only callin' 'cause he's drunk and alone Two: Don't let him in You'll have to kick him out again Three: Don't be his friend You know you're gonna wake up in his bed in the morning And if you're under him, you ain't gettin' over him I got new rules, I count 'em I got new rules, I count 'em I gotta tell them to myself I got new rules, I count 'em I gotta tell them to myself I keep pushin' forwards, but he keeps pullin' me backwards (Nowhere to turn, no way) (Nowhere to turn, no) Now I'm standin' back from it, I finally see the pattern (I never learn, I never learn) But my love, he doesn't love me, so I tell myself, I tell myself I do, I do, I do One: Don't pick up the phone You know he's only callin' 'cause he's drunk and alone Two: Don't let him in You'll have to kick him out again Three: Don't be his friend You know you're gonna wake up in his bed in the morning And if you're under him, you ain't gettin' over him I got new rules, I count 'em I got new rules, I count 'em I gotta tell them to myself I got new rules, I count 'em I gotta tell them to myself Practice makes perfect I'm still tryna learn it by heart (I got new rules, I count 'em) Eat, sleep, and breathe it Rehearse and repeat it, 'cause I... (I got new...) One: Don't pick up the phone (yeah) You know he's only callin' 'cause he's drunk and alone (alone) Two: Don't let him in (uh-ooh) You'll have to kick him out again (again) Three: Don't be his friend You know you're gonna wake up in his bed in the morning And if you're under him, you ain't gettin' over him I got new rules, I count 'em I got new rules, I count 'em (Whoa-ooh, whoa-ooh, whoa) I gotta tell them to myself I got new rules, I count 'em (Baby, you know I count 'em) I gotta tell them to myself Don't let him in, don't let him in Don't, don't, don't, don't... Don't be his friend, don't be his friend Don't, don't, don't, don't... Don't let him in, don't let him in Don't, don't, don't, don't... Don't be his friend, don't be his friend Don't, don't, don't, don't... You're gettin' over him	10	Music	PT3M45S	225	2d	hd	false		1	2033757027	11179845	529835	0	317871
26	UCmlg97Dx3t61yIEh4cTjcNQ	Lil Migo	eqIr4EpSE1o	2020-02-22T18:00:12.000Z	2020-02-22 18:00:12	Lil Migo Ft Blac Youngsta - Sleep (Official Music Video)	📖 Booking: BigUnksMgnt@gmail.com ➕Subscribe: https://www.youtube.com/channel/UCmlg97Dx3t61yIEh4cTjcNQ 🐣Twitter: https://twitter.com/Migo_Gotfans 📸Instagram : https://www.instagram.com/1_lilmigo/ 📓FaceBook : Adarious Smith (Lil Migo) 📝Website : https://plugbrudaz.com	10	Music	PT2M59S	179	2d	hd	false	https://i.ytimg.com/vi/eqIr4EpSE1o/maxresdefault.jpg	1	67744	3952	49	0	181
27	UC-J-KZfRV8c13fOCkhXdLiQ	Dua Lipa	oygrmJFKYZY	2019-11-01T13:00:11.000Z	2019-11-01 13:00:11	Dua Lipa - Don't Start Now (Official Music Video)	Don't Start Now is out everywhere! http://dualipa.co/dontstartnow Follow me online: Instagram: https://dualipa.co/instagram Facebook: http://dualipa.co/facebook Twitter: http://dualipa.co/twitter YouTube: https://dualipa.co/youtube Spotify: http://dualipa.co/spotify Apple Music: https://dualipa.co/apple-music Deezer URL: http://dualipa.co/deezer Amazon Music: https://dualipa.co/amazonmusic	10	Music	PT3M2S	182	2d	hd	false	https://i.ytimg.com/vi/oygrmJFKYZY/maxresdefault.jpg	1	147801522	2205995	52483	0	49057
28	UCPibKXYTX0Yu2578k07EOhg	Adham Nabulsi	RIuhSeGefxk	2020-02-22T21:56:47.000Z	2020-02-22 21:56:47	Adham Nabulsi - Btaaref Shuur (Official Music Video) | ادهم نابلسي - بتعرف شعور	Adham Nabulsi - Btaaref Shuur (Official Music Video) | ادهم نابلسي - بتعرف شعور Lyricist: Ali Mawla Composer: Adham Nabulsi Music Arranger: Adham Nabulsi Mix & Mastering: Red Ramp Music Execution: Joseph Demerjian Bass Guitar: Bilal Kalayciogullari Strings: Istanbul Strings Directed by: Yasser Sami Artist Manager: Josiane Khoury Digital Distribution: CHBK Music Lyrics: بتعرف شعور لمّا تلتقي صدفة بحدا ما بيشبه حدا لما فجأة تموت العجقة و وحدك تشوفا هدا مش عم بقدر افهم احساسي شو عم يعمل كلّما بقرر وقّف عم لاقي حالي مكمّل حالة ضياع احساسي بدو يرحلا و ما فيني قلو رجاع لأني بحبّا كل شي قرار إلّا الحب غصبا عنك ما بياخد اذنك بلحظة وحدة بغيرك و بنسّيك حتى اسمك Follow Adham Nabulsi on: Facebook: https://www.facebook.com/adham.nabulsi Instagram: https://www.instagram.com/AdhamNabulsi/ Twitter: https://twitter.com/AdhamNabulsi	10	Music	PT4M42S	282	2d	hd	false	https://i.ytimg.com/vi/RIuhSeGefxk/maxresdefault.jpg	1	2141458	152321	2046	0	7808
29	UCz9xICOq_9Yox4KY9rqe0ZA	Notano	NOjrt1mrD8Q	2019-12-10T15:11:53.000Z	2019-12-10 15:11:53	Juice WRLD - Legends (Music Video RIP)	Juice WRLD - Legends Juice WRLD - Legends Juice WRLD's Channel: http://bit.ly/Juice_WRLD http://smarturl.it/LucidDreamsJW #LucidDreams #JuiceWRLD	10	Music	PT3M13S	193	2d	hd	false	https://i.ytimg.com/vi/NOjrt1mrD8Q/maxresdefault.jpg		26987399	995738	14404	0	94379
30	UC7bX_RrH3zbdp5V4j5umGgw	Relax Music	2LnD4GN-_XM	2020-02-19T15:09:23.000Z	2020-02-19 15:09:23	Relaxing Cafe JAZZ - Smooth & Exquisite Coffee JAZZ Music	Thank you for listening: Relaxing Cafe JAZZ - Smooth & Exquisite Coffee JAZZ Music PLEASE ► SUBSCRIBE! ► https://goo.gl/NmmRWe This smooth live stream radio airs 24/7 and is the home of gentle people and tranquil music. Just let the smooth vibes take over and enjoy! Make sure to check out the channel ► https://goo.gl/NmmRWe for more Jazz, Bossa Nova, Morning Music, French music and more. New Videos ► https://goo.gl/E0ByFC More Jazz ► https://goo.gl/i9ZK64 More Bossa Nova ► https://goo.gl/bzHgvJ More Morning Music ► https://goo.gl/J3hd7f ►AWESOME MUSIC COLLECTION ► https://goo.gl/hJHc3r #relaxmusic #smoothjazz #jazz	10	Music	P2DT17M13S	1033	2d	sd	false	https://i.ytimg.com/vi/2LnD4GN-_XM/maxresdefault_live.jpg	1	108834	928	31	0	0
31	UCN1hnUccO4FD5WfM7ithXaw	Maroon5VEVO	cBVGlBWQzuc	2018-10-16T15:00:10.000Z	2018-10-16 15:00:10	Maroon 5 - Girls Like You ft. Cardi B (Volume 2) (Official Music Video)	"Girls Like You” is out now. http://smarturl.it/GLY For more, visit: https://www.facebook.com/maroon5 https://twitter.com/maroon5 https://www.instagram.com/maroon5 Sign up for updates: http://smarturl.it/Maroon5.News Music video by Maroon 5 performing Girls Like You. © 2018 Interscope Records http://vevo.ly/BGhT8W	10	Music	PT4M35S	275	2d	hd	true	https://i.ytimg.com/vi/cBVGlBWQzuc/maxresdefault.jpg	1	384193582	2656566	107922	0	77640
32	UCtTfSyci2urfwXXu_eRpNRA	LilNasXVEVO	bXcSLI58-h8	2019-09-05T14:00:10.000Z	2019-09-05 14:00:10	Lil Nas X - Panini (Official Video)	Official video for "Panini" by Lil Nas X. Listen & Download '7' the EP by Lil Nas X out now: https://smarturl.it/lilnasx7ep Amazon - https://smarturl.it/lilnasx7ep/az Apple Music - https://smarturl.it/lilnasx7ep/applemusic iTunes - https://smarturl.it/lilnasx7ep/itunes Spotify - https://smarturl.it/lilnasx7ep/spotify YouTube Music - https://smarturl.it/lilnasx7ep/youtubemusic Director: Mike Diva Story By: Lil Nas X Starring: Skai Jackson   Executive Producer: Josh Shadid  Associate Producer: Marissa Alanis  Producers: Johnny Hernandez & Joseph Barbalaco  Commissioner/Producer: Saul Levitz   Production Company: Lord Danger   Director of Photography: Aaron Grasso  1st AC: Keith Jones Steadicam: Ari Robbins    Gaffer: Michael Schilling BBE: Ardy Fatehi  Key Grip: Fritz Weber BBG: Nico Ortiz    Production Designer: Johnny Love Art Director: Michelle Hall    Wardrobe Stylist: Justin Lynn  Costume Design/Fabrication: Lucid Studios   Skai Jackson's Hair & Make-Up: Alexander Armand & Brandy Allen  Lil Nas X Hair & Make-Up: Diana Escamilla & Jennifer Urquizo   Choreographer: Phil Wright    Motion Capture Specialist: Don Allen Stevenson III    VFX/Post Production Company: Chimney Group  Executive Producer: Ron Moon Post Producers: Alex Ramos  Creative Director: Frederick Ross VFX/Post Production Company: Post Lord (Lord Danger) Executive Producer: Josh Shadid Post Producer: Shyam Sengupta & Marissa Alanis Creative Director: Mike Diva  Post Supervisor: Andrew Henry Editors: Mike Diva & Andrew Henry 3D Artist: Cornel Swodoba 3D Artist: Calvin Serrano  VFX Artist: Octane Jesus (David Ariew)  VFX Artist: Ryan Talbot  GFX Artist: Cody Vondell  GFX Artist: Silica (Eric Castro)  GFX Artist: Olney Atwell  GFX Artist: Tom Arena Compositor: Ethan Chancer Compositor: Josh Johnson   Special Thanks: Rokoko Electronics for providing Motion Capture Suit  Follow Lil Nas X Facebook - https://www.facebook.com/LilNasX/ Instagram - https://www.instagram.com/lilnasx/ Twitter - https://twitter.com/LilNasX https://www.lilnasx.com #LilNasX #7EP #Panini	10	Music	PT2M25S	145	2d	hd	false	https://i.ytimg.com/vi/bXcSLI58-h8/maxresdefault.jpg	1	233985917	4782891	171848	0	269112
33	UClW4jraMKz6Qj69lJf-tODA	YoungBoy Never Broke Again	OjAJl5IkJXQ	2018-08-30T22:15:32.000Z	2018-08-30 22:15:32	YoungBoy Never Broke Again - No Mentions [Official Music Video]	YoungBoy Never Broke Again - No Mentions Still Flexin, Still Steppin OUT NOW! Stream/Download: https://youngboy.lnk.to/StillFlexinStillSteppinID "4Freedom" available now! Stream/Download: https://youngboy.lnk.to/4FreedomID Subscribe for more official content from YoungBoy NBA: https://youngboy.lnk.to/Subscribe Connect with YoungBoy Never Broke Again: http://www.youngboynba.com https://www.facebook.com/nbayoungboy https://www.twitter.com/GGYOUNGBOY https://www.instagram.com/nba_youngboy https://www.soundcloud.com/nba-youngboy The official YouTube channel of Atlantic Records artist YoungBoy Never Broke Again. Subscribe for the latest music videos, performances, and more. #YoungBoyNeverBrokeAgain #NoMentions #4Freedom #4Respect	1	Film & Animation	PT3M41S	221	2d	hd	false	https://i.ytimg.com/vi/OjAJl5IkJXQ/maxresdefault.jpg	1	108558905	615709	30225	0	28152
34	UCNhtAn1MT600xiNiX8ErnyQ	Z Dvpy	yNPmxqVxLhU	2020-02-21T17:00:22.000Z	2020-02-21 17:00:22	EPIKA - PRZEJMUJEMY WASZE SUBY (Official Music Video)	WSPIERAJ KANAŁ - https://www.youtube.com/channel/UCNhtAn1MT600xiNiX8ErnyQ/join Epika przejmuje Wasze suby! A potem donosi! Celem tej parodii nie jest obrażenie, ani urażenie nikogo, albo jest. Zrobiliśmy to dla wyświetleń! Pozdrawiamy chłopaków z Epiki i WIP Bros i oczywiście odsyłam do ich oryginału: https://www.youtube.com/watch?v=Pc0CxmFlabw INSTAGRAM http://www.instagram.com/programzdupy Montaż - Mateusz be Zdjęcia - Mateusz be Współpraca zzzdupy@gmail.com	23	Comedy	PT5M1S	301	2d	hd	false	https://i.ytimg.com/vi/yNPmxqVxLhU/maxresdefault.jpg	1	313824	31624	2168	0	1382
35	UClW4jraMKz6Qj69lJf-tODA	YoungBoy Never Broke Again	74hZN9i2eEA	2018-01-06T18:50:37.000Z	2018-01-06 18:50:37	YoungBoy Never Broke Again - Outside Today [Official Music Video]	YoungBoy Never Broke Again - Outside Today Still Flexin, Still Steppin OUT NOW! Stream/Download: https://youngboy.lnk.to/StillFlexinStillSteppinID Until Death Call My Name Reloaded OUT NOW! Stream/Download: https://youngboy.lnk.to/udcmnrID Subscribe for more official content from YoungBoy NBA: https://youngboy.lnk.to/Subscribe Connect with YoungBoy Never Broke Again: http://www.youngboynba.com https://www.facebook.com/nbayoungboy https://www.twitter.com/GGYOUNGBOY https://www.instagram.com/nba_youngboy https://www.soundcloud.com/nba-youngboy The official YouTube channel of Atlantic Records artist YoungBoy Never Broke Again. Subscribe for the latest music videos, performances, and more. #YoungBoyNeverBrokeAgain #OutsideToday	24	Entertainment	PT2M29S	149	2d	hd	false	https://i.ytimg.com/vi/74hZN9i2eEA/maxresdefault.jpg	1	181540976	1061503	65603	0	39997
36	UC2CCXzC56k0b8L49R_iW-Yw	DaBaby	28hYUZMufDg	2019-11-15T16:32:59.000Z	2019-11-15 16:32:59	DaBaby - BOP on Broadway (Hip Hop Musical)	BOP on Broadway DaBaby - BOP Produced by Jetsonmade Video Produced by Reel Goats Dir x Reel Goats Edited by Reel Goats Shoutout every single dancer that came out to be great.Shout Cherry and Danileigh for the Choreography. Much love to Paramount for letting us run wild on their studio lot. Kirk Album Out Now. The Kirk Tour starts this weekend if you ain't got your tickets, go get them you bitch ass niggas.	10	Music	PT3M4S	184	2d	hd	false	https://i.ytimg.com/vi/28hYUZMufDg/maxresdefault.jpg		177117201	2029438	67998	0	62066
37	UCPjJUEUwxI7GHMKiiEB-R7w	Illslick thelegandary	vjZWJcQ27n0	2020-02-22T13:00:26.000Z	2020-02-22 13:00:26	ILLSLICK - กลัวเครื่องบิน ft. PALMY [Official Music Video]	Artist : ILLSLICK, PALMY Mastered : Woody Pornpitaksuk Instrumental Remake : Ratchakawee เนื้อเพลง... เหมือนตอนเครื่องบินมันกำลังบินขึ้นไป เธอรู้ไหมในใจของฉันกลัวจะตาย ขอเพียงเธอคอยจับมือฉันกุมเอาไว้ อบอุ่นใจไม่กลัวสิ่งใดเมื่อฉันมีเธอ เพราะว่าฉันมันเกิดมาแบบนี้ เกิดมาแบบนี้ คนอย่างฉันนั้นมันก็แปลกดี มันก็แปลกดี Like The Way She's Lookin' At Me, Lookin' At Me ฉันคงไม่กล้ากินตอนอยู่บนเครื่องต่อให้แจกฟรี แจกฟรี ฉันจองทั้งโซนรอบตัว ทุกทีนั้นมีแค่เพียงเรา และเธอบอกกับฉันอย่ากลัว ความกลัวนั้นเป็นแค่เพียงเงา ฉันใช้เวลาไตร่ตรองก่อนลอง ไม่ใช่แค่เพียงเดา ไม่เหมือนใครเขาที่มั่นใจ ติดมันตรงที่ฉันนั้นไม่ทันสมัย ไม่เคยเข้าใจข้าวของเครื่องใช้ แล้วกลัวความสูงนี่จะได้เรื่องไหม แต่เธอก็ไม่เคยเห็นเป็นเรื่องใหญ่ เหมือนตอนเครื่องบินมันกำลังบินขึ้นไป เธอรู้ไหมในใจของฉันกลัวจะตาย ขอเพียงเธอคอยจับมือฉันกุมเอาไว้ อบอุ่นใจไม่กลัวสิ่งใดเมื่อฉันมีเธอ คนอย่างฉันทุกวันก็อย่างเดิม มันก็อย่างเดิม เดินสับสนกับคนบนทางเดิน คนบนทางเดิน จนวันที่ฉันได้พบคนอย่างเธอ เจอคนอย่างเธอ และเธอได้เข้ามาทำให้ชีวิตไม่เป็นอย่างเคย อย่างเคย ฉันไม่ได้เจ๋งอะไร อย่าไปฟังที่ใครเขาพูดกัน ฉันเพียงต้องการให้เธอนั้นคอยกุมมือฉันทุกวัน ถ้อยคำที่เธอบอกรักยังคงจดจำไว้ทุกคำ อยากได้ยินมันซ้ำสักครั้งนึง ติดมันตรงที่ฉันนั้นไม่ทันสมัย ไม่เคยเข้าใจข้าวของเครื่องใช้ แล้วกลัวความสูงนี่จะได้เรื่องไหม และเธอก็ไม่เคยเห็นเป็นเรื่องใหญ่ เหมือนตอนเครื่องบินมันกำลังบินขึ้นไป เธอรู้ไหมในใจของฉันกลัวจะตาย ขอเพียงเธอคอยจับมือฉันกุมเอาไว้ อบอุ่นใจไม่กลัวสิ่งใดเมื่อฉันมีเธอ เหมือนตอนเครื่องบินมันกำลังบินขึ้นไป เธอรู้ไหมในใจของฉันกลัวจะตาย ขอเพียงเธอคอยจับมือฉันกุมเอาไว้ อบอุ่นใจไม่กลัวสิ่งใดเมื่อฉันมีเธอ มองแทบไม่เห็นเดือน มองแทบไม่เห็นดาว แต่อบอุ่นหัวใจ Girl, You Make Me Smile และเมื่อไหร่ที่กลัว ตื่นตระหนกทุกคราว แค่จับมือฉันไว้ Girl, You Make Me Proud	10	Music	PT3M46S	226	2d	hd	false	https://i.ytimg.com/vi/vjZWJcQ27n0/maxresdefault.jpg	1	3486685	197301	1139	0	12522
38	UCVLAkUdgAai7HX4oQxYs1Iw	Queen Musicas	WzCtNvze-sY	2020-02-22T05:00:23.000Z	2020-02-22 05:00:23	Mega Hits 2020 🌱 The Best Of Vocal Deep House Music Mix 2020 🌱 Summer Music Mix 2020 #19	Follow us on spotify: https://spoti.fi/2TJ4Dyj Submit music: https://bit.ly/2VcIDxx Subscriber Youtube: http://bit.ly/2NDcwrg #Summermix #DeepHouse #DeepHouseSummerMix Mega Hits 2020 🌱 The Best Of Vocal Deep House Music Mix 2020 🌱 Summer Music Mix 2020 #19 https://youtu.be/WzCtNvze-sY Tag: Popular,Songs,Mix,2019,Camila Cabello,Ed Sheeran,Justin Bieber,Kygo,Style,Chill,Chill Out,spotify music,youtube music,hot mix,girl,youtubers,logan paul,best music,pop music,viral mix,dance mix,disco polo,musicas,electronicas,new year mix,new music,tropical mix,deep house,summer mix,winter mix,remixes,mashups,brazil mix,popular songs,electro mix,car music,long mix,top USA,edm mix,Coldplay,drake,summer music 2019,world hits,charts,queen music Это видео подходит для детей от 16 лет. ♦ If any producer, label, artist or photographer has an issue with any of the music or video uploads please contact us and we will remove your work immediately. Thank you! ♦ We strive to find the best and most enjoyable music for you guys! We hope to make your days more beautiful with the music we share ! Peace love and music. I'm also a music producer, I'm working on this project ! 🚫 If you have any problem with copyright issues, or question please do not report me, take your time to contact us via mail, and we will response within 48h - 💌 channel@hgmedia.vn 💌	10	Music	PT1H54M32S	3272	2d	hd	false	https://i.ytimg.com/vi/WzCtNvze-sY/maxresdefault.jpg	1	66536	574	54	0	34
39	UC03RCyX0CY_ucDCOjwWcQNw	Disney Central Fan	aiQbDk5V2yU	2020-01-22T22:49:31.000Z	2020-01-22 22:49:31	FROZEN 2 - Show Yourself (Official Music Video) HD 1080p	Watch the full “Show Yourself” sequence from Disney’s Frozen 2 featuring the original song performed by Idina Menzel (voice of Elsa) featuring AURORA and written by Academy Award winners Kristen Anderson-Lopez & Robert Lopez. See Disney’s Frozen 2 in theatres now. Get your tickets here: http://bit.ly/Frozen2Tickets 🍁🍂🍁🍂🍁🍂 Watch all Frozen 2 music videos here: https://disneymusic.co/Frozen2/Vevo Subscribe to DisneyMusicVEVO for all the latest Frozen 2 music videos: https://disneymusic.co/disneymusicYT "Show Yourself" sheet music is available at: Musicnotes: https://www.musicnotes.com/l/MN0204329 Sheet Music Direct: https://www.sheetmusicdirect.com/en-U... 🍁🍂🍁🍂🍁🍂 Why was Elsa born with magical powers? What truths about the past await Elsa as she ventures into the unknown to the enchanted forests and dark seas beyond Arendelle? The answers are calling her but also threatening her kingdom. Together with Anna, Kristoff, Olaf and Sven, she'll face a dangerous but remarkable journey. In “Frozen,” Elsa feared her powers were too much for the world. In “Frozen 2,” she must hope they are enough. From the Academy Award®-winning team—directors Jennifer Lee and Chris Buck, producer Peter Del Vecho and songwriters Kristen Anderson-Lopez and Robert Lopez—and featuring the voices of Idina Menzel, Kristen Bell, Jonathan Groff and Josh Gad, Walt Disney Animation Studios’ “Frozen 2” opens in U.S. theaters on Nov. 22, 2019. 🍁🍂🍁🍂🍁🍂 Connect with Disney Music on: Instagram: https://instagram.com/disneymusic Facebook: https://facebook.com/disneymusic Twitter: https://twitter.com/disneymusic For more Frozen 2: Facebook: https://facebook.com/DisneyFrozen Twitter: https://twitter.com/DisneyFrozen IG: https://www.instagram.com/DisneyFrozen #Frozen2 #ShowYourself #IdinaMenzel Music video by Idina Menzel, AURORA performing Show Yourself (From "Frozen 2"). © 2019 Walt Disney Records FROZEN 2 Show Yourself Official Music Video DisneyMusicVEVO	10	Music	PT3M50S	230	2d	hd	false	https://i.ytimg.com/vi/aiQbDk5V2yU/maxresdefault.jpg		1102939	13449	439	0	875
40	UCxMAbVFmxKUVGAll0WVGpFw	Cardi B	xTlNMmZKwpA	2018-05-29T14:05:10.000Z	2018-05-29 14:05:10	Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]	Cardi B, Bad Bunny & J Balvin - I Like It from Cardi B's Debut Album Invasion of Privacy available now! Stream/Download: https://CardiB.lnk.to/IOPAY INVASION OF PRIVACY merchandise available here: http://smarturl.it/BardiGangMerchYT Follow Cardi B http://cardibofficial.com http://Instagram.com/f/iamcardib http://Twitter.com/IAmCardiB https://Facebook.com/TheCardiBFanClub http://Soundcloud.com/IAmCardiB Director - Eif Rivera Executive Producer – Kareem Johnson Video Commissioner/VP Video Production – Emmanuelle Cuny-Diop Associate Director, Video Administration – Lily F Thrall Assistant, Video Production – Trevor Joseph Newton	10	Music	PT4M17S	257	2d	hd	false		1	1082709442	7217288	471126	0	285819
41	UClRx3MMyYUyqOxyEqA5F2nQ	TravisScottVEVO	tfSS1e3kYeo	2019-10-04T04:00:05.000Z	2019-10-04 04:00:05	Travis Scott - HIGHEST IN THE ROOM (Official Music Video)	HIGHEST IN THE ROOM OUT NOW https://travisscott.lnk.to/HIGHEST OFFICIAL STORE: https://shop.travisscott.com/ Directed by Dave Meyers and Travis Scott Produced by Nathan Scherrer, Randy Donaldson, Sam Lecca Production company: Freenjoy Travis Scott online: https://twitter.com/trvisXX https://www.instagram.com/travisscott/ https://soundcloud.com/travisscott-2 https://www.facebook.com/travisscottlaflame https://travisscott.com/ (c) 2019 Epic Records/Sony. With Cactus Jack.	10	Music	PT2M57S	177	2d	hd	false	https://i.ytimg.com/vi/tfSS1e3kYeo/maxresdefault.jpg	1	163372430	2555657	66836	0	84506
42	UCepWEz3BW6EMKA4CU-yGDMw	TOP Music	ChXP97VTOjQ	2019-12-31T06:22:54.000Z	2019-12-31 06:22:54	Top Hits 2020 - New Pop Songs Playlist 2020 - ( Best Hits Music Playlist on Spotify )	Top Hits 2020 - New Pop Songs Playlist 2020 - ( Best Hits Music Playlist on Spotify ) Top Hits 2020 - New Pop Songs Playlist 2020 - ( Best Hits Music Playlist on Spotify ) Top Hits 2020 - New Pop Songs Playlist 2020 - ( Best Hits Music Playlist on Spotify )	10	Music	PT1H12M52S	772	2d	hd	false		1	5568685	36919	3437	0	974
43	UCjYO25ZVJT523TD1iYHzcbw	ChildishGambinoVEVO	VYOjWnS4cMY	2018-05-06T04:00:07.000Z	2018-05-06 04:00:07	Childish Gambino - This Is America (Official Video)	“This is America” by Childish Gambino http://smarturl.it/TcIgA Director: Hiro Murai Producer: Jason Cole of Doomsday with Ibra Ake and Fam Rothstein of Wolf + Rothstein tour tickets and merchandise available at childishgambino.com	10	Music	PT4M5S	245	2d	hd	true	https://i.ytimg.com/vi/VYOjWnS4cMY/maxresdefault.jpg	1	642004709	8990597	684392	0	713756
44	UCD2HT__OY6xzj-YbnAXJhfA	Ben&Ben	-6FoVayjJdw	2020-02-21T11:00:11.000Z	2020-02-21 11:00:11	Ben&Ben - Masyado Pang Maaga | Official Music Video	Music Video for Ben&Ben's latest single, "Masyado Pang Maaga". ____ MASYADO PANG MAAGA LYRICS Bakit ba ang hirap-hirap Magsabi nang diretsahan? 'Di pagkakaunawaan Pwede sanang pag-usapan Tahan, pwede pa bang malaman? Laman ng iyong isipan Para walang maling akala Parang kay bilis ng 'yong pag-alis Teka lang, teka lang, teka lang muna Sa'n nagkamali? Pwede bang bumawi? Teka lang, teka lang, teka lang muna Masyado pang maaga Ano ba ang 'yong hinahanap? Nasa 'kin ba ang kasagutan? Pa'no natin malalaman Kung laging nagsisisihan? Tahan, pwede ko bang malaman? Laman ng iyong isipan Para walang maling akala Parang kay bilis ng 'yong pag-alis Teka lang, teka lang, teka lang muna Sa'n nagkamali? Pwede bang bumawi? Teka lang, teka lang, teka lang muna Masyado pang maaga Para mawala ka Masyado ba akong naniwala sa iyong pinangako Na minahal kita higit pa sa sarili ko? Diyos ko Ba't 'di kita malimot? Teka lang, teka lang, teka lang muna Sa'n nagkamali? Pwede bang bumawi? Teka lang, teka lang, teka lang muna Sabing sandali Ba't nagmadali? Teka lang, teka lang, teka lang muna Sa'n nagkamali? Pwede bang bumawi? Teka lang, teka lang, teka lang muna Masyado pang maaga Para mawala ka Masyado pang maaga Para mawala ka ____ Director: Jorel Lising Executive Producer: MJ Denila Assistant Director: Camille Aragona Director of Photography: David Orbeta Production Designer: Czam Gueco Art Director: Leah Marcelo Assistant Production Designer: Leah Gonzales Head Set Man: Sonny Lopez Production Manager: Estong Quidoles Location Manager: Bernadette Co Assistant Cameraman: Kevin Jefferson Estrera Assistant Camera: Gaffer: Jim Gerald Que Setmen: Randy Rabulan, Bernie Buban, Ricky Buban, Arnma Gubot, Ricky Litran, George de Guzman Hair and Make-Up Artist for Gio and Gaby: Rani Erika Soriano Editor: Jude Matanguihan Post Producer / Production Staff: Roderick Goot Color Grading Barebones Inc Colorist: Musseli Cruz Production Coordinator: Is Cartagena Sales Producer: Audrey Velasco Lead Actors: Sue Ramirez, Gio Gahol, and Gabby Padilla Extras: Reason Fortun, Aris Dacanay, Regina Mora, and the Ben&Ben BBs Stylist for Ben&Ben: Jilla Sara and Abby Aguirre (Assistant) Hair and Make-Up for Ben&Ben: Ghie Inductivo, Mac Nepumoceno (Assistant), Andrew Meneses (Assistant) Crew for Ben&Ben: Darwin Bon and Patrick Babina Drivers of Ben&Ben: Kuya Edshie and Kuya Efren Ben&Ben Music Production Tital Val Guico Brando Balmedina Soundcheck Ronald Santiago Sindikato Management Inc. Chief Executive Officer: Enzo Valdez General Manager: Edzon Rapisora Finance and Bookings: Priscilla Salvacion-Valdez Accounts and Artist Relations: Toia Avenido and Geri Regondola Mandaue Foam RSVP Film Studios Sindikato Management Inc. Ben&Ben Music Production Sony Music Entertainment Philippines _ Follow Ben&Ben: Twitter: twitter.com/benandbenmusic Facebook: facebook.com/benandbenmusic Instagram: instagram.com/benandbenmusic #MasyadoPangMaagaMV	10	Music	PT5M24S	324	2d	hd	false	https://i.ytimg.com/vi/-6FoVayjJdw/maxresdefault.jpg	1	541879	40262	136	0	2213
